MAC1,MAC2,taper,rootchord1,rootchord2,thicknessChordRatio,xAC,MTOM,AR1,AR2,S1,S2,span1,span2,nmax,Pmax,lf,m_pax,n_prop,n_pax,pos_fus,pos_lgear,pos_frontwing,pos_backwing,zpos_frontwing,zpos_backwing,Mac1,Mac2,flighttime,takeofftime,T_max,T_max_ctrl,battery_pos,cargo_m,cargo_pos,battery_m,P_max,vol_bat,price_bat,h_winglet_1,h_winglet_2,V_cruise,h_cruise,CLmax,CD0fwd,CD0fwd,CD0,Clafwd,Clarear,CL_cr_fwd,CL_cr_rear,CL_cr,P_br_cruise_per_engine,T_cr_per_engine,Prop_radius_front,Prop_radius_back,Disk_load_front,Disk_load_back,Root chord vertical tail,Vertical_tail_mass,Energy,E_climb,E_cruise,E_desc,E_loiter,Cr_vert,m_v_tail,S_vtail,b_vtail,converged
1.2182507690457016,1.2182507690457016,0.45,1.6034465492734649,1.6034465492734649,0.17,0.25,2556.1478335412503,6.8,6.8,9.189542709420428,9.189542709420428,7.904991487918181,7.904991487918181,3.2,17.0,7.602584911955098,88.0,12.0,5.0,3.0410339647820397,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.8008797307853737,0.0757277777777492,29714.687583714156,1.7000000000000004,1.0,35.0,6.5,973.0444453221912,1500000.0,367.59456823282784,33083.511140954506,0.5,0.5,72.53731653651542,1000.0,1.7011810158302552,0.008558896967176247,0.008558896967176247,0.00569001347384757,6.028232202020173,6.028232202020173,0.5108651699189956,0.5108651699189956,0.5108651699189956,12952.481198154745,145.1485005732347,0.47249914879181815,0.47249914879181815,306.77332474451725,306.77332474451725,1.7061936069781742,11.141918152392245,1056880213.9464959,113958962.21754411,783043861.7336329,35257181.310616486,124620208.68470235,1.7061936069781742,11.141918152392245,1.9970122844023301,1.6720697348386109,0.0
1.1639937871177062,1.1639937871177062,0.45,1.532034182741913,1.532034182741913,0.17,0.25,2530.1702597892204,6.8,6.8,8.389224888542792,8.389224888542792,7.5529285209176305,7.5529285209176305,3.2,17.0,7.549025637056434,88.0,12.0,5.0,3.019610254822574,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.8270259577936212,0.07292361111108511,30080.944582294054,1.7000000000000004,1.0,35.0,6.5,908.4480221287173,2648357.23807949,342.7588317735653,30848.294859620877,0.5,0.5,71.20902008616652,1000.0,1.6811798649303484,0.008558896967176247,0.008558896967176247,0.006532573465170828,6.028232202020173,6.028232202020173,0.5301017592122719,0.5301017592122719,0.5301017592122719,12045.131591119176,137.09805726604685,0.43729285209176305,0.43729285209176305,354.51831484731764,354.51831484731764,1.360052707859424,14.951113271399475,986186208.2664909,92377634.16213521,744713403.8559703,33070931.141340658,116024239.10704477,1.360052707859424,14.951113271399475,1.2689239505548455,1.3328516537022355,0.0
1.158063975115819,1.158063975115819,0.45,1.5242294377469932,1.5242294377469932,0.17,0.25,2511.3806123472204,6.8,6.8,8.30396702301372,8.30396702301372,7.514451128092676,7.514451128092676,3.2,17.0,7.543172078310245,88.0,12.0,5.0,3.017268831324098,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.82471383616521,0.07307361111108499,29775.23727813974,1.7000000000000004,1.0,35.0,6.5,902.576497285528,3011505.193356698,337.6290780418995,30386.617023770956,0.5,0.5,71.30699515829485,1000.0,1.7036045331249987,0.008558896967176247,0.008558896967176247,0.006307395837835757,6.028232202020173,6.028232202020173,0.5286460513200698,0.5286460513200698,0.5286460513200698,11874.387846573298,134.97115053346928,0.4334451128092677,0.4334451128092677,358.1607598751093,358.1607598751093,1.3526768115431016,9.993847612329306,971383298.2565978,91329010.38069116,732816894.468626,32812612.057118382,114424781.35016212,1.3526768115431016,9.993847612329306,1.255197905749678,1.3256232753122392,0.0
1.1537559325156066,1.1537559325156066,0.45000000000000007,1.518559245519785,1.518559245519785,0.17,0.25,2501.242648610317,6.8,6.8,8.242299784562572,8.242299784562572,7.486497080412541,7.486497080412541,3.2,17.0,7.538919434139838,88.0,12.0,5.0,3.015567773655935,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.827155132958315,0.07308888888886271,29554.120325459156,1.7000000000000004,1.0,35.0,6.5,898.3346674655952,2992041.088501526,335.84185959068174,30225.767363161354,0.5,0.5,71.19922687047654,1000.0,1.7087656422422806,0.008558896967176247,0.008558896967176247,0.006347984470522278,6.028232202020173,6.028232202020173,0.5302475966917989,0.5302475966917989,0.5302475966917989,11794.512045490708,134.23358815597115,0.4306497080412541,0.4306497080412541,361.3609319737407,361.3609319737407,1.3479156402137131,9.857389070264684,966256078.615802,90727581.92653278,729115760.9880822,32723805.04106476,113688930.6601224,1.3479156402137131,9.857389070264684,1.246377329169062,1.3209573274094386,0.0
1.1514248314459905,1.1514248314459905,0.45,1.5154910792103056,1.5154910792103056,0.17,0.25,2495.7645239387716,6.8,6.8,8.209027195010135,8.209027195010135,7.4713710205068065,7.4713710205068065,3.2,17.0,7.536618309407729,88.0,12.0,5.0,3.0146473237630915,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.8276972837944163,0.07305277777775157,29434.816562819386,1.7000000000000004,1.0,35.0,6.5,896.0478142945418,2977979.422648448,334.8680161904706,30138.12145714235,0.5,0.5,71.17423356232115,1000.0,1.7099659419201925,0.008558896967176247,0.008558896967176247,0.006371540590887307,6.028232202020173,6.028232202020173,0.530620062057317,0.530620062057317,0.530620062057317,11757.218673754673,133.84113292360573,0.4291371020506807,0.4291371020506807,363.1158159949074,363.1158159949074,1.3453907355871046,9.774273327026958,963464511.0593421,90394660.94903341,727122398.4191494,32659278.053789143,113288173.63737029,1.3453907355871046,9.774273327026958,1.2417122947428767,1.3184829208753626,0.0
1.1501632372821289,1.1501632372821289,0.45,1.5138305846224696,1.5138305846224696,0.17,0.25,2492.805548644194,6.8,6.8,8.191048101925603,8.191048101925603,7.463184782188774,7.463184782188774,3.2,17.0,7.535372938466852,88.0,12.0,5.0,3.0141491753867413,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.827821262988307,0.07303194444441828,29370.349880091526,1.7000000000000004,1.0,35.0,6.5,894.8126414720862,2970398.5043864064,334.33876345429763,30090.488710886788,0.5,0.5,71.1685285494643,1000.0,1.710240101549109,0.008558896967176247,0.008558896967176247,0.006383975371803977,6.028232202020173,6.028232202020173,0.5307051366168404,0.5307051366168404,0.5307051366168404,11738.184075533192,133.62771302170322,0.4283184782188775,0.4283184782188775,364.0729960043311,364.0729960043311,1.344037379512022,9.730132804232557,961946358.2391652,90232639.85724062,726029205.4950461,32615027.242180526,113069485.64469777,1.344037379512022,9.730132804232557,1.2392154235825223,1.3171566319217813,0.0
1.1494812190251908,1.1494812190251908,0.45,1.5129329206534279,1.5129329206534279,0.17,0.25,2491.2075747650065,6.8,6.8,8.181336805552162,8.181336805552162,7.458759298821399,7.458759298821399,3.2,17.0,7.534699690490071,88.0,12.0,5.0,3.013879876196029,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.8302807540873225,0.07302083333330718,29335.528599173234,1.7000000000000004,1.0,35.0,6.5,894.145631599788,2966303.906479966,334.07238559080656,30066.51470317259,0.5,0.5,71.05278867691156,1000.0,1.7102992608852912,0.008558896967176247,0.008558896967176247,0.006390626428797941,6.028232202020173,6.028232202020173,0.5324355056409665,0.5324355056409665,0.5324355056409665,11710.173937442654,133.51203785492632,0.42787592988213996,0.42787592988213996,364.5926342103906,364.5926342103906,1.343148109144943,9.706469854896055,961199352.2314196,90085568.94690262,725552172.6440622,32602228.998113405,112959381.64234138,1.343148109144943,9.706469854896055,1.2375761343663503,1.3162851469620442,0.0
1.1491127315136946,1.1491127315136946,0.45000000000000007,1.512447921962049,1.512447921962049,0.17,0.25,2490.3426475028696,6.8,6.8,8.176092287976687,8.176092287976687,7.456368255272903,7.456368255272903,3.2,17.0,7.534335941471536,88.0,12.0,5.0,3.0137343765886144,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.8302941869424463,0.07301388888886272,29316.723613185153,1.7000000000000004,1.0,35.0,6.5,893.7854648964337,2964092.768753297,333.93038608272406,30053.734747445167,0.5,0.5,71.05227274711129,1000.0,1.7103240988679655,0.008558896967176247,0.008558896967176247,0.006395519758727709,6.028232202020173,6.028232202020173,0.5324432379859232,0.5324432379859232,0.5324432379859232,11705.233195724899,133.45447524675674,0.4276368255272903,0.4276368255272903,364.8737319423595,364.8737319423595,1.3427545412391346,9.691702998689122,960792115.1252524,90036294.82464504,725259864.2717394,32589777.955217008,112906178.07365099,1.3427545412391346,9.691702998689122,1.2368509740005669,1.315899450414352,0.0
1.148913232840394,1.148913232840394,0.45,1.512185344283121,1.512185344283121,0.17,0.25,2489.875616742141,6.8,6.8,8.173253614399563,8.173253614399563,7.455073747315786,7.455073747315786,3.2,17.0,7.53413900821234,88.0,12.0,5.0,3.013655603284936,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.830300721582284,0.07301944444441827,29306.545130282848,1.7000000000000004,1.0,35.0,6.5,893.5905331694107,2962898.816131678,333.84071810622856,30045.664629560568,0.5,0.5,71.05218530629563,1000.0,1.7103283085126264,0.008558896967176247,0.008558896967176247,0.00639745735675247,6.028232202020173,6.028232202020173,0.5324445484959228,0.5324445484959228,0.5324445484959228,11702.344464837357,133.42059297413874,0.4275073747315786,0.4275073747315786,365.0262669178095,365.0262669178095,1.3425420502695065,9.684823910785491,960533181.6548072,90001337.84162953,725078564.0185385,32581867.849016864,112871411.94562231,1.3425420502695065,9.684823910785491,1.2364595415249087,1.315691209264116,0.0
1.1488054960634775,1.1488054960634775,0.45,1.5120435424738665,1.5120435424738665,0.17,0.25,2489.6234407743905,6.8,6.8,8.171720828998733,8.171720828998733,7.454374664396162,7.454374664396162,3.2,17.0,7.534032656855399,88.0,12.0,5.0,3.01361306274216,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.830293978691327,0.07300972222219608,29301.04910287704,1.7000000000000004,1.0,35.0,6.5,893.4852808525401,2962252.617456597,333.7905949735662,30041.15354762096,0.5,0.5,71.0521852127637,1000.0,1.710328313015522,0.008558896967176247,0.008558896967176247,0.006398501792695739,6.028232202020173,6.028232202020173,0.5324445498977252,0.5324445498977252,0.5324445498977252,11700.791323135776,133.40228943788438,0.4274374664396162,0.4274374664396162,365.1086961468769,365.1086961468769,1.3424273778201017,9.68111086981224,960390642.0860019,89972500.08028345,724988751.4934413,32576763.768037528,112852626.74423954,1.3424273778201017,9.68111086981224,1.236248327598574,1.3155788302636993,1.0
