MAC1,MAC2,taper,rootchord1,rootchord2,thicknessChordRatio,xAC,MTOM,AR1,AR2,S1,S2,span1,span2,nmax,Pmax,lf,m_pax,n_prop,n_pax,pos_fus,pos_lgear,pos_frontwing,pos_backwing,zpos_frontwing,zpos_backwing,Mac1,Mac2,flighttime,takeofftime,T_max,T_max_ctrl,battery_pos,cargo_m,cargo_pos,battery_m,P_max,vol_bat,price_bat,h_winglet_1,h_winglet_2,V_cruise,h_cruise,CLmax,CD0fwd,CD0fwd,CD0,Clafwd,Clarear,CL_cr_fwd,CL_cr_rear,CL_cr,P_br_cruise_per_engine,T_cr_per_engine,Prop_radius_front,Prop_radius_back,Disk_load_front,Disk_load_back,Root chord vertical tail,Vertical_tail_mass,Energy,Cr_vert,m_v_tail,S_vtail,b_vtail
1.2182507690457016,1.2182507690457016,0.45,1.6034465492734649,1.6034465492734649,0.17,0.25,2624.40143462797,6.8,6.8,9.189542709420428,9.189542709420428,7.904991487918181,7.904991487918181,3.2,17.0,7.602584911955098,88.0,12.0,5.0,3.0410339647820397,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.550300636715435,0.07573333333330474,29714.687583714156,1.7000000000000004,1.0,35.0,6.5,845.8979159881866,1500000.0,319.56143492887054,28760.52914359835,0.5,0.5,72.53731653651542,1000.0,1.7011810158302552,0.008558896967176247,0.008558896967176247,0.00569001347384757,6.028232202020173,6.028232202020173,0.5108651699189956,0.5108651699189956,0.5108651699189956,12952.481198154745,145.1485005732347,0.47249914879181815,0.47249914879181815,314.9647070489403,314.9647070489403,1.7188006052058222,11.141918152392245,916666701.0980376,1.7188006052058222,11.141918152392245,2.026633007032748,1.684424593101706
1.1794317420986935,1.1794317420986935,0.44999999999999996,1.5523534275731672,1.5523534275731672,0.17,0.25,2776.1542247307684,6.8,6.8,8.613231810777847,8.613231810777847,7.653102397935713,7.653102397935713,3.2,17.0,7.564265070679875,88.0,12.0,5.0,3.02570602827195,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.560791069331779,0.07303194444441828,30884.154717195663,1.7000000000000004,1.0,35.0,6.5,923.9108572331984,2648357.23807949,302.0614681783438,27185.53213605094,0.5,0.5,71.54751321390293,1000.0,1.6976462017632505,0.008558896967176247,0.008558896967176247,0.006372372755363318,6.028232202020173,6.028232202020173,0.5250977741189634,0.5250977741189634,0.5250977741189634,12325.072823073222,139.73376364779423,0.4473102397935714,0.4473102397935714,371.7573771271094,371.7573771271094,1.377392827082037,15.373074251144006,867072352.2426943,1.377392827082037,15.373074251144006,1.3014867460665738,1.3498449705403963
1.2130521531341454,1.2130521531341454,0.45,1.5966041955018253,1.5966041955018253,0.17,0.25,2860.121488422711,6.8,6.8,9.111281362893338,9.111281362893338,7.871258683823998,7.871258683823998,3.2,17.0,7.597453146626369,88.0,12.0,5.0,3.038981258650548,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.548741842748026,0.07354861111108449,32669.98244052793,1.7000000000000004,1.0,35.0,6.5,958.450113660295,3062764.491728053,312.74445578786924,28147.001020908232,0.5,0.5,72.36028532420198,1000.0,1.7095151603550625,0.008558896967176247,0.008558896967176247,0.005751882076918013,6.028232202020173,6.028232202020173,0.5133679160225413,0.5133679160225413,0.5133679160225413,12849.092370314958,144.3027701127819,0.4691258683823999,0.4691258683823999,348.20852932753417,348.20852932753417,1.4175725835158859,10.769944601596256,897525966.9725711,1.4175725835158859,10.769944601596256,1.3785252522616296,1.389221131845568
1.2312604202567858,1.2312604202567858,0.45,1.6205696908069644,1.6205696908069644,0.17,0.25,2910.235871863071,6.8,6.8,9.386860204282723,9.386860204282723,7.989408575678334,7.989408575678334,3.2,17.0,7.615427268105223,88.0,12.0,5.0,3.0461709072420895,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5433672018150202,0.07368472222219553,33658.11109171017,1.7000000000000004,1.0,35.0,6.5,977.6390920018498,3177262.126783878,320.042169531824,28803.79525786416,0.5,0.5,72.71683805431947,1000.0,1.7098906239106868,0.008558896967176247,0.008558896967176247,0.00560132732365222,6.028232202020173,6.028232202020173,0.5083458611626367,0.5083458611626367,0.5083458611626367,13194.7947037914,147.5693780676758,0.48094085756783345,0.48094085756783345,337.11535115241725,337.11535115241725,1.441322286949573,11.519046909125244,918390344.0163857,1.441322286949573,11.519046909125244,1.4251032153122773,1.4124958412105815
1.2420005075695646,1.2420005075695646,0.45,1.634705660492468,1.634705660492468,0.17,0.25,2940.160140363449,6.8,6.8,9.551334585347531,9.551334585347531,8.059098906227867,8.059098906227867,3.2,17.0,7.626029245369351,88.0,12.0,5.0,3.0504116981477405,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5414414575436113,0.07370277777775097,34247.85830807277,1.7000000000000004,1.0,35.0,6.5,989.1136003661443,3240873.5899861325,324.3789320880824,29194.103887927417,0.5,0.5,72.84153686830666,1000.0,1.7097981424966715,0.008558896967176247,0.008558896967176247,0.005517208424622626,6.028232202020173,6.028232202020173,0.5066068570360508,0.5066068570360508,0.5066068570360508,13387.917768489386,149.52879102520396,0.48790989062278667,0.48790989062278667,330.92183837789884,330.92183837789884,1.4554249436203812,11.976466116086225,930812582.4484131,1.4554249436203812,11.976466116086225,1.4531275718274994,1.4263164447479735
1.248369562751552,1.248369562751552,0.45000000000000007,1.6430885319120276,1.6430885319120276,0.17,0.25,2958.0324906061014,6.8,6.8,9.649545422287668,9.649545422287668,8.100426462326297,8.100426462326297,3.2,17.0,7.63231639893402,88.0,12.0,5.0,3.052926559573608,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5400620758805117,0.07376249999997324,34600.00779351424,1.7000000000000004,1.0,35.0,6.5,995.9722632457679,3278911.5852137688,327.0194766536746,29431.752898830713,0.5,0.5,72.93709332724058,1000.0,1.6995791688692192,0.008558896967176247,0.008558896967176247,0.0054693380750954635,6.028232202020173,6.028232202020173,0.5052802934476056,0.5052802934476056,0.5052802934476056,13507.81680579434,150.70432260603158,0.4920426462326297,0.4920426462326297,327.3641635429459,327.3641635429459,1.4595019041271842,12.253276383774974,938363744.9136982,1.4595019041271842,12.253276383774974,1.461280024391501,1.4303118660446403
1.2521580459866029,1.2521580459866029,0.45,1.6480748865481767,1.6480748865481767,0.17,0.25,2968.637508392526,6.8,6.8,9.708202110099302,9.708202110099302,8.12500919068251,8.12500919068251,3.2,17.0,7.636056164911132,88.0,12.0,5.0,3.054422465964453,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5392799381625173,0.0737930555555287,34810.3299854318,1.7000000000000004,1.0,35.0,6.5,1000.0709632553745,3301648.0526597206,328.54311143474297,29568.880029126867,0.5,0.5,72.99096426626929,1000.0,1.6970713478104473,0.008558896967176247,0.008558896967176247,0.005437916931162491,6.028232202020173,6.028232202020173,0.5045347250247276,0.5045347250247276,0.5045347250247276,13577.583714299659,151.3909519784431,0.49450091906825105,0.49450091906825105,325.27946789818117,325.27946789818117,1.4633554387518375,12.355825147591279,942721617.113764,1.4633554387518375,12.355825147591279,1.4690066701254638,1.4340883299768006
1.2544006308304425,1.2544006308304425,0.45,1.651026548899372,1.651026548899372,0.17,0.25,2974.9538383755958,6.8,6.8,9.743007561485912,9.743007561485912,8.139560886073903,8.139560886073903,3.2,17.0,7.638269911674528,88.0,12.0,5.0,3.0553079646698116,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.539067055928427,0.07379583333330654,34935.130071383865,1.7000000000000004,1.0,35.0,6.5,1002.5038299173308,3315235.243191567,329.44424204057873,29649.981783652085,0.5,0.5,73.00493214069606,1000.0,1.696422016015422,0.008558896967176247,0.008558896967176247,0.0054205122650730336,6.028232202020173,6.028232202020173,0.5043416804370174,0.5043416804370174,0.5043416804370174,13616.28516880668,151.80368764781258,0.4959560886073904,0.4959560886073904,324.06152054162806,324.06152054162806,1.4660292112712834,12.438218387866756,945304619.9841381,1.4660292112712834,12.438218387866756,1.474379770734281,1.4367086270458576
1.2557344073937118,1.2557344073937118,0.45,1.6527820490658536,1.6527820490658536,0.17,0.25,2978.722153774809,6.8,6.8,9.763737627252414,9.763737627252414,8.148215501894658,8.148215501894658,3.2,17.0,7.63958653679939,88.0,12.0,5.0,3.0558346147197564,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5371138874948627,0.07381249999997319,35009.46078738476,1.7000000000000004,1.0,35.0,6.5,1003.9531169769556,3323300.1961759515,330.0099445355104,29700.895008195937,0.5,0.5,73.13220361151186,1000.0,1.6962338357423676,0.008558896967176247,0.008558896967176247,0.005410664386056402,6.028232202020173,6.028232202020173,0.5025878031829237,0.5025878031829237,0.5025878031829237,13660.931604213438,152.0518300515606,0.49682155018946583,0.49682155018946583,323.3425290883463,323.3425290883463,1.4677092656209285,12.493086368849998,946904820.6237864,1.4677092656209285,12.493086368849998,1.4777609550352142,1.43835508030851
1.2565294627166124,1.2565294627166124,0.45000000000000007,1.6538284910188394,1.6538284910188394,0.17,0.25,2980.9717726965464,6.8,6.8,9.776105161289427,9.776105161289427,8.15337446072288,8.15337446072288,3.2,17.0,7.640371368264129,88.0,12.0,5.0,3.0561485473056518,4.125,0.5,6.1,0.3,1.7,-0.002866846692576361,-0.002866846692576361,1.5371090007809578,0.07382361111108429,35053.80640957022,1.7000000000000004,1.0,35.0,6.5,1004.8178567985425,3328104.582778608,330.33123191530325,29729.810872377293,0.5,0.5,73.13394349982916,1000.0,1.6961531284213311,0.008558896967176247,0.008558896967176247,0.005403661013400805,6.028232202020173,6.028232202020173,0.5025638899026166,0.5025638899026166,0.5025638899026166,13673.735049422752,152.19414614842717,0.497337446072288,0.497337446072288,322.91575199188304,322.91575199188304,1.4687033003454384,12.527154311125365,947824327.615371,1.4687033003454384,12.527154311125365,1.4797633177296696,1.4393292343385293
