city-city,dist
Munich-Athens,1496.7968603377235
Munich-Barcelona,1055.5781835855119
Munich-Gothenburg,1066.1027167757488
Munich-Nuremburg,152.49898462517802
Munich-Braunschweig,466.05229352964324
Munich-Hanover,489.6727471286462
Munich-Antwerp,620.6838101270687
Munich-Brescia,306.10027322703843
Berlin-Amsterdam,577.0085813772483
Berlin-Dortmund,422.9276559565951
Berlin-Rome,1183.3475090566692
Berlin-Hamburg,255.21876855727714
Berlin-Stuttgart,511.3297289557934
Berlin-Frankfurt,425.56689197776467
Berlin-Stockholm,814.5045168029692
Berlin-Brussels,654.2432279686858
Berlin-Vienna,524.8847671476992
Berlin-Lisbon,2315.454518326916
Berlin-Marseille,1187.3189281823034
Berlin-Cologne,479.4439181324858
Berlin-Helsinki,1107.9778488106122
Berlin-Lyon,975.79794444945
Berlin-Düsseldorf,478.2212620328392
Berlin-Warsaw,517.9674462482383
Berlin-Rotterdam,612.9365256902888
Berlin-Prague,281.25460793294064
Berlin-Lille,744.3061079670813
Berlin-Turin,928.7854512608244
Berlin-Utrecht,566.3094209117409
Berlin-Budapest,690.808050498271
Berlin-Toulouse,1328.087959237399
Berlin-Bordeaux,1333.8267941017355
Berlin-Bucharest,1296.6216634805232
Berlin-Malmö,341.3910463904973
Berlin-Nantes,1225.713609216784
Berlin-The Hague,624.3123744949262
Berlin-Bremen,316.2709285921669
Berlin-Bonn,481.23943478072687
Berlin-Dresden,165.7516070902878
Berlin-Bologna,904.9778410356453
Berlin-London,933.4516918747356
Berlin-Valencia,1794.8064087002435
Berlin-Naples,1299.1645442057409
Berlin-Dublin,1321.212860087512
Berlin-Athens,1803.6628893413517
Berlin-Barcelona,1501.0369048925954
Berlin-Gothenburg,584.3171393107413
Berlin-Nuremburg,378.149353505261
Berlin-Braunschweig,198.30625063805624
Berlin-Hanover,249.64216340785353
Berlin-Antwerp,635.9783575116969
Berlin-Brescia,810.515616210814
Amsterdam-Dortmund,196.86546510684744
Amsterdam-Rome,1294.6009270853822
